岗位,命中关键词,地点,发布时间,URL,JD
千问事业部-AI产品经理-审核 / 安全评测方向,AI、Agent,北京,2026-07-03 16:20:01,https://talent.quark.cn/off-campus/position-detail?positionId=100022020001,"1、负责大模型内容安全审核与安全评测平台建设，包括审核平台、自动化评测平台、风险挖掘平台等能力设计与迭代；
2、深入理解大模型业务场景（聊天、创作、生图、生视频、Agent等），结合安全策略与业务需求，设计安全治理与评测产品方案；
3、推动AI Native工作流建设，结合 Agent、AI Coding等工具，设计并落地多Agent协同与自动化Workflow，推动平台模块化与可扩展能力建设，持续提升安全审核与评测效率、风险发现能力及平台自动化水平；
4、联动研发等其他团队，推进安全能力工程化与平台化落地；
5、持续跟进大模型技术在内容安全领域的应用趋势，结合业务实际场景迭代系统、Agent。
1、本科及以上学历，3年以上产品经理经验，有AI产品、安全产品、内容审核平台经验优先；
2、熟悉大模型产品形态与原理，对LLM、Agent、RAG、AI Workflow有理解和实践经验，熟悉MCP、CLI工具链及主流AI Coding工具（如Cursor、Claude Code等）优先；
3、对内容安全、审核、风控、安全评测有理解；
4、具备较强的数据分析与系统抽象能力，有较强跨团队推动能力，能够协调研发、安全运营共同推进项目，拥有很强的自驱和学习能力，能够快速学习复杂业务、AI新变化。"
千问事业部-AI策略产品经理-图像/视频创作方向,AI,北京,2026-07-02 10:48:32,https://talent.quark.cn/off-campus/position-detail?positionId=100010200011,"1. 负责千问图像/视频生成方向的策略（应用策略/评估/训练数据策略），推动模型效果持续提升。
2. 通过真实用户数据分析、AB 实验与用户反馈的结合，挖掘用户需求和问题，结合当前模型能力，利用产品策略放大模型效果，快速提升体验与关键指标。
3. 构建面向真实应用场景的模型与产品评测体系。对模型效果进行系统性分析，定位问题，支撑策略与训练决策。
4. 基于业务目标，制定针对性的模型训练数据策略。主导高质量数据生产全流程（采买/构造/清洗），协同算法团队验证训练效果。
1. 2年以上AI产品/策略产品/数据分析经验，有图像/视频/多模态模型优化经验优先。
2. 对图像/视频生成模型有基本理解，对 AI 产品有热情，关注行业前沿，能持续自我迭代。
3. 对用户需求敏感，具备优秀的逻辑思维、分析与抽象能力，能从复杂现象中拆解问题并形成可执行结论。
4. 具备良好的跨团队沟通与推动能力，能在不确定性中推进复杂问题。"
千问事业部-千问 Agent产品经理-北京/杭州,AI、Agent,北京 / 杭州,2026-07-02 10:42:26,https://talent.quark.cn/off-campus/position-detail?positionId=100010200013,"1. 产品规划与战略
- AI Agent产品路线图设计，聚焦大模型场景的创新应用。
- 跟踪行业动态，分析竞品策略，输出差异化竞争方案。
2. 场景化产品设计：围绕用户核心需求定义场景解决方案，完成产品方案落地
3. 基于数据分析的用户体验优化
1、本科及以上学历，3年以上互联网行业产品工作经验，有大型agent项目成功案例者优先；
2、对AI领域的发展趋势和应用有一定的理解，具备敏锐的产品洞察力和商业敏感度；
3、拥有出色的沟通协调能力、优秀的逻辑思维能力、良好的数据分析能力，能独立完成跨职能、跨部门沟通协作；
4、责任心强，良好的执行力和抗压能力，自我驱动。"
千问事业部-千问/夸克-语音AI产品经理-杭州/北京,AI,北京 / 杭州,2026-06-18 20:00:35,https://talent.quark.cn/off-campus/position-detail?positionId=100008180002,"● 语音核心体验提升
负责语音基础能力在产品内的体验升级（语音输入、播报、搜索、实时通话等），定制优化策略，推动语音功能使用率、留存、转化的数据指标提升，推动产品内用户语音心智建立

● 语音交互产品功能优化
负责语音交互相关的产品功能设计和落地，深入挖掘用户需求，设计产品方案和优化策略，驱动产品迭代；能独立提出需求并推动产品和研发落地，确保体验和指标提升。

● 推动语音模型效果提升
负责 ASR、TTS、E2E、多模态模型的用户侧效果验证机制搭建，与算法团队合作，结合产品需求，拆解合理的算法评价指标，搭建评测体系，推动算法快速迭代
基本要求：
1、本科及以上学历，专业不限（计算机、电子、心理学、认知科学、人机交互优先）；
2、3-7年AI产品经验（有独立项目落地能力）
3、逻辑清晰、表达能力强，具备良好的跨团队沟通能力与推动力，可与产品、研发、算法高效协作，有复杂项目协同和推进落地力能力；
4、对 AI、语音交互、多模态交互、智能产品有热情；

加分项：
1、有语音相关产品/大模型方向实习经验；
2、有 ASR、TTS 、LLM或多模态端到端模型产品经验 ；
3、有亮点产品或项目落地经验；
4、对声音敏感，有审美能力"
千问事业部-AI智投产品经理（超级汇川）-北京,AI、Agent,北京,2026-06-18 14:35:02,https://talent.quark.cn/off-campus/position-detail?positionId=100010280018,"1、根据超级汇川的客户需求、代理需求、产品规划等建设投放产品；
2、重点建设以agent实现为主的客户级投放的AI诊断分析及优化（掉量/超成本/不起量）、AI盯盘与建议等产品；agent通过知识库理解客户的业务维度、目标等，并基于此具备AI理解客户需求、拆解与分析并执行的能力；
3、建设商品广告、一键起量等平台与策略产品，持续提升平台系统效率，为客户或AI在效果与起量方面提供工具抓手；
4、管理产品生命周期和推进节奏，撰写产品需求及相关文档，并与设计、技术、测试团队配合，高效率、高质量地完成阶段性项目；
1、3年以上广告方向产品经验，有广告投放平台、智能投放等相关背景者优先；
2、熟悉主流广告投放逻辑（智能出价、智能定向、投放链路与效果优化等）及效果衡量体系；
3、具备扎实的数据分析能力，能熟练使用SQL进行数据探查与效果评估；
4、对LLM、agent有深入理解及实战经验，能与算法工程师高效沟通agent相关需求及结果评估等；
5、逻辑清晰、结果导向，具备较强的跨团队协作能力和复杂问题拆解能力；
6、本科及以上学历，计算机、数学、统计、市场营销或相关专业优先。
7、有代理侧投放优化的经验优先。"
千问事业部-AI 产品经理 - 千问语音Agent-北京/杭州,AI、Agent,北京 / 杭州,2026-06-16 15:48:12,https://talent.quark.cn/off-campus/position-detail?positionId=100010900011,"负责千问语音/视频助手
职位需求
1、语音助手优化：负责千问语音场景的需求定义和产品优化。
2、视频助手优化：负责千问视频场景的需求定义和产品优化。
3、生活服务语音助手：对接淘宝闪购、淘宝、高德等集团核心业务，从“能对话”到“会办事”，打造行业领先的语音 AI 生活服务链路。
4、协调资源和推进落地：拆解业务线条，协调工程、算法、设计及各业务方资源，支撑业务目标的达成。
1、有好奇心，对大模型技术和产品有好奇心，喜欢探索新业务，做探索型产品。
2、推动能力好，面对跨部门协作的复杂环境，能够凭专业性和韧性拿结果，不仅能发现问题，更能搞定资源解决问题。
3、本科以上学历，1-5 年互联网产品经验，负责过独立完整业务者、有大模型效果优化经验或应用大模型独立手搓项目者优先。
4、无需大模型语音/视频生成业务背景。"
千问事业部-AI 商业化产品经理（全域营销业务）-北京,AI、Agent,北京,2026-06-03 14:05:28,https://talent.quark.cn/off-campus/position-detail?positionId=100015480001,"1.负责以Agent为核心的AI Native营销系统的产品建设，基于AI Native理念，结合业务与技术可行性，深度参与AI 营销agent的设计与迭代，例如围绕提案洞察、创意内容生产、广告投放、智能结案等建设营销agent能力
2.理解大模型（LLM、多模态、Agent等）的能力，与算法、工程紧密合作，参与Prompt设计、Agent流程设计、skills设计、工具调用链路设计，将大模型能力落地为用户可用的场景和功能
3.运用AI coding工具辅助工作，优化流程，探索AI在产品设计等的创新应用
4.持续跟进AI前沿动态，并尝试挖掘创新产品机会
1.统招全日制本科及以上，计算机、AI等相关专业优先，2年以上AI产品经验，熟悉广告营销的业务流程，有AI商业化产品或AI营销agent产品经验优先。
2.熟悉大模型基本原理（Prompt，Function call，agent，skill等），熟练使用至少1种AI coding工具，能辅助提升工作效率
3.有探索欲，对AI新产品高度敏感，了解国内外行业动态
4.思维活跃，有好奇心和强责任心
加分项：
1.有广告营销agent系统经验、达人营销系统经验优先；2.有AI Native产品完整项目经验，深度使用过claude code、codex等，或有技术功底者/有基础编码能力者优先；有AI相关创业经验者优先"
千问事业部-千问-AI工具产品经理-北京/广州,AI,北京 / 广州,2026-05-22 10:57:06,https://talent.quark.cn/off-campus/position-detail?positionId=100011400011,"1、负责千问 AIPPT、AI文档阅读等AI工具产品的规划与定义，深入理解用户需求，输出高质量的产品策略和需求文档
2、协调项目团队和资源，与设计、研发团队、QA、运营等紧密协作，推动需求保质按时上线
3、持续跟进产品上线后消费数据，深入分析挖掘、提出产品改进方案和优化策略，推动产品迭代升级
4、持续关注AI大模型领域技术进展、市场趋势及行业动态，不断探索AI工具产品新形态
1、本科及以上学历，3年以上互联网产品经验，有AI大模型工具方向经验的优先
2、熟悉大模型AI基本原理与应用场景，对AI工具产品有深入的理解，能够准确把握产品发展方向
3、拥有良好的数据分析挖掘能力，熟练运用数据分析工具，能够通过数据发现和解决问题
4、具备良好的沟通协调与团队协作能力，能够有效地进行跨部门沟通合作，推动项目落地"
千问事业部-AI产品经理-杭州,AI、Agent,杭州,2026-05-19 10:35:13,https://talent.quark.cn/off-campus/position-detail?positionId=7000025002,"1、​负责AI驱动的用户产品的规划与设计，重点关注用户在家庭、生活场景中的需求，设计智能化、场景化的AI产品解决方案；
2、​通过用户调研、行为数据分析等方式，深入理解用户在AI产品使用中的痛点和需求，并将其转化为产品功能与体验优化点；
​3、与AI算法、工程团队紧密合作，推动AI技术在用户产品中的落地，包括但不限于自然语言处理、语音交互、图像识别等领域；
4、​关注AI产品的交互体验与用户反馈，持续优化产品设计，提升用户满意度和产品易用性；
​5、跟踪AI用户产品领域的行业动态，分析竞品及市场趋势，为产品策略提供数据支持与创新方向。
1、本科及以上学历，计算机科学、人工智能、用户体验设计等相关专业优先；
2、熟悉大模型在用户产品中的应用，了解Agent产品的开发流程与技术框架，具备3年以上相关工作经验；
3、具备强烈的用户思维，能够从用户角度出发，设计符合用户需求的AI产品，对用户体验有深刻理解；
4、具备完整的产品规划与设计能力，能够独立完成从需求分析到产品落地的全流程工作，熟悉敏捷开发流程；
​5、对AI技术（如自然语言处理、语音交互、大模型应用等）有基本的了解，能够与技术团队高效沟通，推动技术落地；
6、具备优秀的沟通与协作能力，能够高效推动跨部门合作，确保项目顺利推进；
​7、对AI用户产品领域有敏锐的洞察力，具备创新意识，能够提出具有前瞻性的产品解决方案。
加分项：
1、熟悉智能语音助手、智能家居或其他AI相关产品；
2、具备数据分析能力，能够通过数据驱动产品优化。"
