变动日期,变动类型,公司,岗位,岗位发布时间,URL
2026-07-06,新增,理想,充电体验产品经理,2026/07/06 23:17:33,https://www.lixiang.com/employ/detail/19413.html
2026-07-06,新增,淘天集团,1688-AI金融产品经理（商户洞察方向）-杭州,2026-07-06 13:36:57,https://talent.taotian.com/off-campus/position-detail?positionId=100019260008
2026-07-06,下架,百度,产品经理（J91523）,2026-02-06,https://talent.baidu.com/jobs/detail/SOCIAL/112b169d-ddce-4b47-8eff-45e767a52ed0
2026-07-06,下架,百度,产品经理（J91523）,2025-08-13,https://talent.baidu.com/jobs/detail/SOCIAL/4a230565-fc62-4d46-9e8a-ff1de59c62c6
2026-07-06,下架,淘天集团,M&T事业部-产业带运营-AI工作台产品经理,2026-07-02 11:02:41,https://talent.taotian.com/off-campus/position-detail?positionId=100018980001
2026-07-03,新增,阿里云,ATH事业群-AI 产品经理 （MaaS网站方向）-杭州/北京,2026-07-03 14:15:16,https://careers.aliyun.com/off-campus/position-detail?positionId=100015623017
2026-07-03,新增,字节跳动,策略产品经理（AI大模型效果方向）-抖音,2025-02-26 16:16:45,https://jobs.bytedance.com/experienced/position/7475637557980907784/detail
2026-07-03,新增,字节跳动,混合云Agent平台产品经理-火山引擎,2026-01-28 15:38:25,https://jobs.bytedance.com/experienced/position/7600313445921966389/detail
2026-07-03,新增,字节跳动,产品经理（AI大模型效果方向）-抖音,2024-10-10 16:36:46,https://jobs.bytedance.com/experienced/position/7424062645269449010/detail
2026-07-03,新增,字节跳动,LLM/VLM模型训练产品经理-AI数据与安全,2026-01-12 15:32:40,https://jobs.bytedance.com/experienced/position/7594374632452819205/detail
2026-07-03,新增,字节跳动,Code Agent训练产品经理-AI数据与安全,2025-06-19 16:14:29,https://jobs.bytedance.com/experienced/position/7517570063319173394/detail
2026-07-03,新增,字节跳动,AI用户产品经理-抖音,2026-07-03 17:30:17,https://jobs.bytedance.com/experienced/position/7658231130722519349/detail
2026-07-03,新增,字节跳动,AI产品经理（B端）-抖音生活服务,2026-04-08 21:38:04,https://jobs.bytedance.com/experienced/position/7626381123106883893/detail
2026-07-03,新增,字节跳动,AI产品经理（B端）-抖音生活服务,2026-04-08 21:38:37,https://jobs.bytedance.com/experienced/position/7626382357930821941/detail
2026-07-03,新增,字节跳动,AI产品经理-抖音生活服务,2026-04-10 21:13:44,https://jobs.bytedance.com/experienced/position/7627117718337308981/detail
2026-07-03,新增,字节跳动,AIGC产品经理（创意Agent方向电商营销）-抖音电商,2026-04-30 11:15:25,https://jobs.bytedance.com/experienced/position/7634385633538918661/detail
2026-07-03,新增,字节跳动,AI Agent数据产品经理（开发套件方向）-Data,2026-05-06 14:42:25,https://jobs.bytedance.com/experienced/position/7636665044055509253/detail
2026-07-03,新增,千问事业部,千问事业部-AI产品经理-审核 / 安全评测方向,2026-07-03 16:20:01,https://talent.quark.cn/off-campus/position-detail?positionId=100022020001
2026-07-03,下架,阿里云,ATH事业群-图像视频 AIGC 产品经理（海外）-北京/杭州,2026-06-17 15:56:29,https://careers.aliyun.com/off-campus/position-detail?positionId=100015463009
2026-07-03,下架,通义,Token Foundry-多模态大模型产品经理-杭州,2026-06-09 15:16:01,https://careers-tongyi.alibaba.com/off-campus/position-detail?positionId=100013020010
2026-07-03,下架,蚂蚁集团,蚂蚁集团-AI增长产品经理-数字出行酒旅,2026-05-29T02:13:24.000+00:00,https://talent.antgroup.com/off-campus-position/26042709803163
2026-07-03,下架,蚂蚁集团,蚂蚁数字科技-数字科技线-客服助理智能体产品经理,2026-06-30T14:59:19.000+00:00,https://talent.antgroup.com/off-campus-position/25121107972489
2026-07-03,下架,蚂蚁集团,蚂蚁数字科技-数字科技线-具身智能数据产品经理,2026-05-12T10:03:50.000+00:00,https://talent.antgroup.com/off-campus-position/26031909227216
2026-07-03,下架,腾讯,腾讯视频-多模态策略产品经理,2026年06月30日,https://careers.tencent.com/jobdesc.html?postId=2034185578328784896&language=zh-cn
2026-07-03,下架,腾讯,腾讯营销-搜索营销匹配策略高级产品经理,2026年06月04日,https://careers.tencent.com/jobdesc.html?postId=2057294692336451584&language=zh-cn
2026-07-03,下架,腾讯,腾讯营销-AIGC平台产品经理-北京/上海,2026年06月16日,https://careers.tencent.com/jobdesc.html?postId=2021096465534976000&language=zh-cn
2026-07-03,下架,腾讯,腾讯元宝-大模型应用平台产品经理,2026年05月27日,https://careers.tencent.com/jobdesc.html?postId=2052733034666573824&language=zh-cn
2026-07-03,下架,腾讯,腾讯会议-评测产品经理,2026年04月07日,https://careers.tencent.com/jobdesc.html?postId=2041409199149314048&language=zh-cn
2026-07-03,下架,腾讯,研效洞察平台产品经理,2026年06月16日,https://careers.tencent.com/jobdesc.html?postId=2034093357088796672&language=zh-cn
2026-07-03,下架,腾讯,智能体-B端产品经理-Workbuddy/CodeBuddy,2026年05月25日,https://careers.tencent.com/jobdesc.html?postId=2058757441348349952&language=zh-cn
2026-07-03,下架,腾讯,平台产品经理,2026年06月24日,https://careers.tencent.com/jobdesc.html?postId=2036276141639233536&language=zh-cn
2026-07-03,下架,腾讯,安全平台中台高级产品经理,2026年05月25日,https://careers.tencent.com/jobdesc.html?postId=2049051892805435392&language=zh-cn
2026-07-03,下架,腾讯,安全平台中台高级产品经理,2026年05月27日,https://careers.tencent.com/jobdesc.html?postId=2049051895145857024&language=zh-cn
2026-07-03,下架,腾讯,太极机器学习平台产品经理（深圳/北京）,2026年07月01日,https://careers.tencent.com/jobdesc.html?postId=2065347628102762496&language=zh-cn
2026-07-03,下架,腾讯,光子艺术部-高级产品经理-(AIGC平台架构与商业化策略方向),2026年05月13日,https://careers.tencent.com/jobdesc.html?postId=2044685846426316800&language=zh-cn
2026-07-03,下架,腾讯,元宝-大模型评测产品经理,2026年06月05日,https://careers.tencent.com/jobdesc.html?postId=1984457407304196096&language=zh-cn
2026-07-03,下架,百度,海外用户增长产品经理（J100887）,2026-06-15,https://talent.baidu.com/jobs/detail/SOCIAL/05f7e011-c78f-40bc-ad47-573eccce635b
